plate,review_reason_code,customer_meaning,reviewer_comments,status
MMA515O,2,MIXED MARTIAL ARTS,5150 CRAZY,Y
ROBO 911,5,ROBO IS MY NICK NAME AND 911 FOR THE CAR ITS GOING ON,911 EMERGENCY,N
707IRON,2,WEIGHT TRAINING REFERENCE SONOMA COUNTY,707 AREA CODE,N
FN2IB7,2,FN2187 IS A STAR WARS CHARACTER AND I AM A VETERAN,LOOKS LIKE EFFIN,N
1FD MOM,1,ONE FIRE DEPARTMENT MOM,FD LOOKS LIKE EFFED,N
HB 707,2,MOTORCYCLE CLUB,707 AREA CODE,N
DNKY PCH,1,DOWN COUNTRY PUNCH IS A DRINK THAT MY FAMILY MAKES AND IS KNOWN FOR,DONKEY PUNCH,N
MZ MOLY,7,THIS IS MY CARS NAME. SHE IS A 38 YEAR OLD STRAWBERRY BLONDE GIRL. MOLY,MOLLY…. ECSTASY,N
RAJO42O,7,NAME MONTH DAY CAME TO AMERICA,420-WEED,N
RMBO562,7,RAMBO IS MY NICKNAME FROM WHEN IW AS A CHILD. EVERYONE KNOWS ME AS RAMBO. 562 IS MY AREA CODE FROM LONG BEACH,562 CUSTOMERS AREA CODE,N
UBRS 51O,7,UBER IS MY INTERNET LOG ON AND 510 IS THE MODEL OF MY CAR,510 CA AREA CODE,N
YR ONE69,1,YEAR OF MY 1969 CAMARO,COULDN'T VERIFY 1969,N
619 BSBL,7,"619 IS THE AREA CODE OF SAN DIEGO, AND BSBL STANDS FOR BASEBALL. THIS PLATE IS REPRESENTING THE SAN DIEGO PADRES, A PRO BASEBALL TEAM.",619 CA AREA CODE,N
69TRIKE,1,1969 TRICYCLE,COULDN'T VERIFY 1969,N
GIGGEDY,1,"FAMILY GUY, QUAGMIRE ALWAYS SAYS GIGGITY GUE",INNUENDO,N
TOPNUGS,7,TOP NUGS. TOP BRAINS. MY TWIN DAUGHTERS ARE TOP STUDENTS IN THEIR CLASS.,NUGS-WEED,N
2BG NUGZ,7,TWO BIG NUGS. TWO BIG BRAINS. MY TWIN DAUGHTERS BOTH SKIPPED 8TH GRADE.,NUGS-WEED,N
TINAS 7O,7,NAME IS TINA. GOING ON A 197O BRONCO,COULDN'T VERIFY TINA OR A 1970 VEHICLE,N
D JERK,2,MY WIFE CALLS ME THAT ITS MY NICK NAME,LOOKS LIKE DA JERK,N
N5A1BOT,2,VIDEO GAME REFERENCE,510 AREA CODE,N
OUTHOUS,2,OUT HOUSE - FOR RV,AN OUT HOUSE IS USED FOR USING THE RESTROOM,Y
SIX5O,2,650 BMW,650 AREA CODE,Y
4O8RD8R,2,THE LICENSE PLATE SIGNIFIES MY HOMETOWN SAN JOSE AND MY FAVORITE NFL TEAM THE RAIDERS.,408 RAIDER,N
5HUNWYS,2,500 WAYS,500 HUNDRED WAYS,Y
7O7 PLUS,2,707 HORSEPOWER PLUS A LITTLE MORE,707 AREA CODE,Y
HDST76O,2,HIGH DESERT 760,760 AREA CODE,N
KISNKUZ,1,KISSING BECAUSE,KISSING COUSINS,N
LJEFFE,2,NICKNAME FOR VEHICLE,EL JEFE THE BOSS,N
2 BLUE IZ,2,TO BLUE EYES,BLUE,Y
BGD W211,2,AIRMATIC AND MERCEDES BENZ MODEL NUMBER,211 AS IN ROBBERY,N
KAT KOCH,1,NAME OF A PERSON NAME = KAT (KATHARINA) LAST NAME = KOCH,CAT COACH,N
LIL515O,4,JUST A LITTLE WILD AND FUN PERSON,5150 CRAZY,Y
OFFCR HI,5,"GIVING A FRIENDLY GESTURE, NOTHING BAD",HI OFFICER,N
RICH KAT,1,RICH AND KAT,RICH CAT.. EXPENSIVE CAT,N
YYMAN 69,1,XXX,MAN 69,N
HYDR,2,HYDRO,HYDR HYDRAULICS OR HYDROPONICS,N
AHHBLUE,4,BLUE WAS THE NICKNAME GIVEN TO ME BY MY FATHER GROWING UP,BLUE,Y
BENDEJO,7,SPANGLISH SLANG FOR VILLAGE IDIOT,PENDEJO CURESE WORD IN SPANISH,N
BYTE ME2,2,"BYTE ME TWO, MATCHING SPOUSE'S PLATES",BITE ME TOO,Y
